iter	RMSE
0	14.95594845
1	14.58316754
2	14.20175048
3	13.85350588
4	13.49422273
5	13.20164377
6	12.88830771
7	12.60317032
8	12.34975783
9	12.05094868
10	11.77111095
11	11.5202918
12	11.29285174
13	11.05122543
14	10.81259617
15	10.57014411
16	10.34421851
17	10.14664547
18	9.931265774
19	9.730084762
20	9.563710739
21	9.390533614
22	9.210623719
23	9.047321202
24	8.875019381
25	8.735934115
26	8.587978937
27	8.45393033
28	8.317687851
29	8.200190523
30	8.087667072
31	7.977137015
32	7.869065013
33	7.771862509
34	7.663631797
35	7.571568146
36	7.477327347
37	7.393245461
38	7.302222231
39	7.224298245
40	7.154223811
41	7.083281374
42	7.002581875
43	6.943363548
44	6.875935402
45	6.818702502
46	6.75412939
47	6.69455822
48	6.639580108
49	6.593685987
50	6.544597091
51	6.494549705
52	6.444964286
53	6.397453804
54	6.354861064
55	6.316088717
56	6.278544666
57	6.242919274
58	6.207103326
59	6.174475202
60	6.14292755
61	6.107010357
62	6.073835742
63	6.040635369
64	6.010495146
65	5.98358242
66	5.955007629
67	5.925869089
68	5.906156599
69	5.88564885
70	5.857102309
71	5.836799511
72	5.815305206
73	5.79282018
74	5.770171737
75	5.752793169
76	5.733463171
77	5.721928783
78	5.705093057
79	5.689544114
80	5.67126766
81	5.659216655
82	5.643077648
83	5.62985794
84	5.614879475
85	5.601526413
86	5.586325413
87	5.575435341
88	5.558571125
89	5.544383258
90	5.52972585
91	5.517643402
92	5.506275882
93	5.496383738
94	5.484799372
95	5.475539277
96	5.468147135
97	5.460762708
98	5.454089711
99	5.445237153
100	5.434168107
101	5.427616679
102	5.420415287
103	5.412694095
104	5.404708552
105	5.393726876
106	5.381918055
107	5.369846676
108	5.364394685
109	5.357178154
110	5.351467522
111	5.344627642
112	5.337268904
113	5.327671511
114	5.32147122
115	5.312936278
116	5.306081614
117	5.301150283
118	5.29433929
119	5.288860366
120	5.28285899
121	5.276567011
122	5.2709283
123	5.261307972
124	5.256756184
125	5.246266256
126	5.242910777
127	5.238859268
128	5.230403226
129	5.221074861
130	5.216355106
131	5.212002674
132	5.206532615
133	5.195757859
