iter	Passed	Remaining
0	97	97568
1	99	49898
2	101	33815
3	103	25859
4	105	21037
5	108	17961
6	110	15676
7	112	13953
8	114	12586
9	115	11474
10	118	10634
11	120	9911
12	122	9274
13	123	8725
14	125	8254
15	127	7842
16	129	7492
17	131	7166
18	133	6886
19	135	6662
20	137	6421
21	139	6220
22	141	6020
23	143	5854
24	147	5753
25	149	5594
26	151	5449
27	153	5330
28	155	5201
29	157	5103
30	160	5015
31	163	4933
32	165	4844
33	167	4761
34	169	4676
35	175	4687
36	177	4613
37	179	4553
38	183	4527
39	203	4894
40	208	4876
41	212	4853
42	216	4826
43	219	4774
44	226	4797
45	228	4734
46	234	4748
47	236	4696
48	240	4672
49	246	4691
50	255	4760
51	258	4711
52	264	4720
53	267	4688
54	269	4635
55	272	4597
56	274	4542
57	278	4530
58	282	4504
59	285	4469
60	293	4511
61	303	4589
62	306	4560
63	332	4859
64	335	4824
65	338	4794
66	341	4758
67	344	4725
68	346	4679
69	349	4643
70	351	4601
71	362	4673
72	373	4744
73	375	4702
74	381	4701
75	383	4658
76	385	4621
77	391	4631
78	394	4604
79	413	4750
80	415	4713
81	417	4674
82	423	4683
83	426	4646
84	428	4608
85	429	4569
86	432	4541
87	439	4559
88	442	4526
89	444	4491
90	446	4463
91	448	4429
92	454	4432
93	457	4414
94	460	4387
95	462	4355
96	466	4339
97	469	4322
98	471	4293
99	476	4290
100	483	4301
101	485	4275
102	495	4314
103	499	4305
104	501	4278
105	504	4254
106	507	4237
107	512	4232
108	515	4215
109	518	4191
110	520	4165
111	527	4185
112	530	4165
113	532	4141
114	535	4121
115	537	4096
116	543	4104
117	550	4113
118	564	4181
119	567	4163
120	572	4156
121	575	4140
122	580	4135
123	585	4137
124	587	4115
125	589	4092
126	601	4136
127	607	4141
128	625	4221
129	632	4233
130	637	4227
131	639	4202
132	642	4190
133	645	4170
134	648	4155
135	650	4130
136	652	4107
137	654	4086
138	656	4067
139	658	4046
140	660	4025
141	663	4008
142	665	3989
143	667	3967
144	669	3949
145	672	3930
146	674	3914
147	680	3915
148	692	3953
149	694	3937
150	697	3924
151	701	3912
152	703	3894
153	705	3876
154	707	3857
155	709	3837
156	712	3824
157	714	3805
158	716	3790
159	720	3781
160	722	3767
161	727	3762
162	730	3748
163	733	3738
164	735	3721
165	737	3705
166	739	3687
167	741	3671
168	743	3655
169	745	3639
170	747	3621
171	748	3603
172	750	3585
173	751	3568
174	753	3551
175	754	3534
176	756	3517
177	757	3499
178	760	3487
179	762	3473
180	764	3457
181	765	3442
182	767	3426
183	768	3409
184	770	3393
185	771	3377
186	773	3362
187	774	3346
188	776	3331
189	777	3316
190	780	3306
191	783	3297
192	785	3283
193	787	3270
194	788	3255
195	790	3242
196	791	3227
197	793	3213
198	794	3199
199	796	3185
200	798	3172
201	799	3159
202	801	3145
203	802	3132
204	804	3118
205	805	3104
206	807	3092
207	808	3079
208	810	3066
209	812	3055
210	814	3044
211	815	3032
212	817	3019
213	818	3006
214	820	2993
215	821	2982
216	823	2970
217	824	2958
218	826	2946
219	829	2939
220	830	2927
221	832	2917
222	834	2907
223	836	2897
224	838	2887
225	839	2876
226	842	2867
227	847	2869
228	850	2863
229	853	2856
230	855	2847
231	856	2836
232	858	2825
233	860	2815
234	862	2806
235	863	2796
236	865	2787
237	867	2777
238	869	2767
239	870	2757
240	872	2748
241	874	2738
242	875	2728
243	877	2718
244	879	2708
245	880	2699
246	882	2689
247	883	2679
248	885	2671
249	887	2661
250	888	2651
251	890	2641
252	891	2632
253	892	2622
254	894	2612
255	895	2603
256	897	2594
257	899	2585
258	900	2576
259	902	2568
260	903	2558
261	905	2551
262	907	2543
263	909	2534
264	910	2526
265	912	2517
266	913	2508
267	915	2500
268	917	2493
269	919	2485
270	920	2476
271	922	2467
272	923	2459
273	925	2451
274	926	2443
275	928	2434
276	929	2426
277	931	2419
278	932	2410
279	934	2402
280	935	2393
281	936	2385
282	938	2377
283	939	2369
284	941	2360
285	942	2353
286	944	2346
287	945	2338
288	947	2330
289	948	2322
290	950	2314
291	951	2306
292	952	2299
293	954	2292
294	955	2284
295	957	2277
296	959	2270
297	960	2262
298	961	2255
299	963	2247
300	964	2240
301	966	2233
302	968	2226
303	969	2219
304	971	2213
305	972	2206
306	974	2199
307	975	2192
308	978	2187
309	979	2180
310	981	2173
311	982	2166
312	983	2159
313	985	2153
314	987	2146
315	988	2139
316	990	2133
317	991	2127
318	993	2120
319	994	2113
320	995	2106
321	997	2100
322	999	2094
323	1000	2087
324	1001	2080
325	1003	2074
326	1004	2067
327	1006	2061
328	1007	2055
329	1009	2048
330	1010	2043
331	1012	2037
332	1014	2031
333	1015	2025
334	1017	2020
335	1019	2013
336	1020	2008
337	1022	2001
338	1023	1995
339	1024	1989
340	1026	1984
341	1028	1978
342	1030	1973
343	1032	1968
344	1033	1962
345	1035	1956
346	1036	1950
347	1037	1944
348	1039	1938
349	1040	1933
350	1042	1927
351	1044	1923
352	1047	1920
353	1049	1915
354	1052	1912
355	1055	1909
356	1058	1906
357	1061	1904
358	1064	1900
359	1067	1897
360	1069	1893
361	1071	1888
362	1073	1883
363	1075	1878
364	1076	1873
365	1078	1868
366	1080	1862
367	1081	1857
368	1083	1852
369	1085	1847
370	1086	1842
371	1088	1837
372	1089	1831
373	1091	1826
374	1093	1821
375	1094	1816
376	1096	1812
377	1098	1808
378	1100	1803
379	1102	1798
380	1103	1792
381	1105	1787
382	1106	1782
383	1107	1777
384	1109	1771
385	1110	1767
386	1112	1762
387	1113	1756
388	1115	1751
389	1116	1746
390	1118	1741
391	1119	1736
392	1121	1731
393	1122	1727
394	1124	1722
395	1126	1717
396	1127	1712
397	1128	1707
398	1130	1702
399	1131	1697
400	1133	1692
401	1134	1688
402	1136	1683
403	1137	1678
404	1139	1673
405	1140	1669
406	1142	1664
407	1143	1659
408	1145	1654
409	1146	1650
410	1148	1645
411	1149	1640
412	1152	1637
413	1153	1632
414	1154	1628
415	1156	1623
416	1158	1619
417	1160	1615
418	1162	1611
419	1165	1608
420	1167	1605
421	1169	1601
422	1171	1598
423	1173	1593
424	1175	1589
425	1177	1585
426	1179	1582
427	1181	1578
428	1183	1574
429	1184	1570
430	1186	1566
431	1188	1562
432	1189	1558
433	1191	1553
434	1193	1549
435	1194	1545
436	1196	1541
437	1197	1537
438	1199	1532
439	1200	1528
440	1202	1523
441	1203	1519
442	1205	1515
443	1207	1511
444	1209	1507
445	1210	1503
446	1211	1499
447	1213	1495
448	1214	1490
449	1216	1486
450	1218	1482
451	1219	1478
452	1221	1475
453	1223	1471
454	1225	1467
455	1226	1463
