iter	Passed	Remaining
0	19	19598
1	23	11495
2	25	8411
3	28	7186
4	31	6245
5	33	5572
6	37	5327
7	39	4890
8	41	4533
9	43	4265
10	44	4033
11	46	3869
12	48	3697
13	50	3571
14	52	3461
15	54	3361
16	56	3260
17	57	3160
18	60	3108
19	62	3047
20	64	2991
21	66	2943
22	68	2906
23	70	2862
24	72	2814
25	73	2767
26	75	2732
27	78	2729
28	80	2691
29	82	2652
30	83	2616
31	85	2587
32	87	2550
33	88	2517
34	90	2504
35	92	2486
36	94	2459
37	96	2441
38	98	2419
39	100	2403
40	102	2389
41	104	2374
42	106	2361
43	108	2348
44	110	2339
45	112	2326
46	114	2319
47	117	2334
48	119	2323
49	122	2318
50	124	2309
51	126	2300
52	128	2289
53	130	2292
54	132	2282
55	137	2315
56	139	2307
57	141	2299
58	146	2334
59	148	2323
60	150	2315
61	152	2304
62	154	2301
63	157	2304
64	160	2303
65	161	2291
66	163	2282
67	165	2267
68	167	2258
69	171	2274
70	173	2268
71	175	2261
72	177	2249
73	178	2235
74	180	2223
75	181	2211
76	183	2195
77	184	2179
78	186	2173
79	188	2165
80	189	2149
81	190	2138
82	192	2127
83	194	2117
84	195	2101
85	196	2092
86	199	2096
87	202	2096
88	203	2087
89	205	2077
90	207	2070
91	208	2059
92	209	2047
93	211	2036
94	213	2034
95	215	2031
96	217	2023
97	218	2013
98	220	2004
99	221	1994
100	222	1983
101	224	1973
102	227	1977
103	229	1980
104	231	1972
105	232	1963
106	234	1954
107	235	1945
108	236	1936
109	239	1937
110	241	1936
111	243	1933
112	245	1925
113	246	1918
114	248	1910
115	249	1901
116	250	1893
117	253	1897
118	256	1895
119	257	1890
120	258	1880
121	260	1872
122	261	1861
123	262	1856
124	264	1849
125	266	1850
126	268	1847
127	270	1842
128	271	1835
129	273	1828
130	274	1820
131	275	1814
132	277	1807
133	278	1802
134	280	1800
135	282	1795
136	284	1789
137	286	1787
138	287	1781
139	289	1775
140	290	1771
141	293	1770
142	302	1810
143	303	1806
144	305	1800
145	306	1795
146	309	1795
147	312	1796
148	313	1792
149	315	1788
150	317	1783
151	319	1783
152	322	1783
153	324	1783
154	326	1782
155	328	1778
156	330	1773
157	331	1768
158	333	1763
159	334	1758
160	338	1761
161	340	1760
162	342	1758
163	344	1755
164	346	1751
165	347	1747
166	350	1746
167	352	1746
168	355	1748
169	357	1744
170	359	1740
171	360	1736
172	362	1734
173	365	1733
174	367	1730
175	368	1726
176	370	1723
177	372	1719
178	373	1715
179	375	1711
180	378	1711
181	380	1710
182	382	1707
183	384	1704
184	386	1702
185	387	1697
186	389	1695
187	392	1696
188	394	1694
189	396	1691
190	398	1687
191	399	1683
192	401	1677
193	402	1673
194	404	1671
195	407	1673
196	409	1669
197	411	1665
198	412	1658
199	413	1653
200	414	1648
201	416	1644
202	417	1640
203	420	1639
204	421	1636
205	423	1631
206	424	1627
207	426	1623
208	428	1622
209	430	1619
210	433	1619
211	435	1619
212	437	1614
213	438	1611
214	443	1619
215	446	1618
216	448	1617
217	449	1613
218	451	1610
219	454	1610
220	457	1611
221	459	1611
222	462	1609
223	463	1607
224	465	1604
225	467	1600
226	469	1598
227	471	1595
228	473	1594
229	475	1592
230	477	1589
231	479	1586
232	481	1584
233	483	1582
234	485	1578
235	487	1579
236	489	1576
237	491	1573
238	493	1572
239	495	1569
240	497	1565
241	498	1561
242	500	1558
243	502	1557
244	505	1556
245	506	1552
246	507	1548
247	509	1544
248	510	1540
249	512	1536
250	514	1534
251	517	1535
252	518	1532
